Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,Country,Season
471,Marcos Senesi,ARG,DF,Bournemouth,25,1997,31,29,2491,27.7,2,0,2,2,0,0,7,0,1.6,England Premier League,2022-2023
472,Ryan Sessegnon,ENG,DF,Tottenham,22,2000,17,9,813,9.0,2,0,2,2,0,0,4,0,1.6,England Premier League,2022-2023
473,Luke Shaw,ENG,DF,Manchester Utd,27,1995,31,30,2552,28.4,1,2,3,1,0,0,8,0,1.1,England Premier League,2022-2023
474,Jonjo Shelvey,ENG,MF,Newcastle Utd,30,1992,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
475,Jonjo Shelvey,ENG,MF,Nott'ham Forest,30,1992,8,6,540,6.0,0,0,0,0,0,0,2,0,0.2,England Premier League,2022-2023
476,Bernardo Silva,POR,"MF,FW",Manchester City,27,1994,34,24,2205,24.5,4,5,9,4,0,0,5,0,2.2,England Premier League,2022-2023
477,Thiago Silva,BRA,DF,Chelsea,37,1984,27,26,2352,26.1,0,2,2,0,0,0,2,0,1.5,England Premier League,2022-2023
478,Ellis Simms,ENG,FW,Everton,21,2001,11,2,228,2.5,1,0,1,1,0,0,0,0,0.9,England Premier League,2022-2023
479,Luis Sinisterra,COL,FW,Leeds United,23,1999,19,13,867,9.6,5,0,5,5,0,0,3,1,3.7,England Premier League,2022-2023
480,Oliver Skipp,ENG,MF,Tottenham,21,2000,23,18,1491,16.6,1,0,1,1,0,0,7,0,0.3,England Premier League,2022-2023
481,Adam Smith,ENG,DF,Bournemouth,31,1991,37,34,2943,32.7,0,1,1,0,0,0,11,0,0.5,England Premier League,2022-2023
482,Emile Smith Rowe,ENG,"MF,FW",Arsenal,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.3,England Premier League,2022-2023
483,Cedric Soares,POR,DF,Arsenal,30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
484,Cedric Soares,POR,DF,Fulham,30,1991,6,2,198,2.2,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
485,Dominic Solanke,ENG,"FW,MF",Bournemouth,24,1997,33,32,2860,31.8,6,7,13,6,0,0,2,0,9.1,England Premier League,2022-2023
486,Manor Solomon,ISR,FW,Fulham,23,1999,19,4,572,6.4,4,0,4,4,0,0,0,0,1.2,England Premier League,2022-2023
487,Tomas Soucek,CZE,MF,West Ham,27,1995,36,32,2815,31.3,2,3,5,2,0,0,3,0,4.0,England Premier League,2022-2023
488,Boubakary Soumare,FRA,MF,Leicester City,23,1999,26,20,1629,18.1,0,0,0,0,0,0,9,0,0.0,England Premier League,2022-2023
489,Harry Souttar,AUS,DF,Leicester City,23,1998,12,11,992,11.0,0,1,1,0,0,0,2,0,1.4,England Premier League,2022-2023
490,Caglar Soyuncu,TUR,DF,Leicester City,26,1996,7,6,529,5.9,1,0,1,1,0,0,2,0,0.4,England Premier League,2022-2023
491,Djed Spence,ENG,"FW,DF",Tottenham,21,2000,4,0,7,0.1,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
492,Jack Stacey,ENG,DF,Bournemouth,26,1996,10,3,299,3.3,0,0,0,0,0,0,2,0,0.1,England Premier League,2022-2023
493,Junior Stanislas,ENG,MF,Bournemouth,32,1989,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
494,Jay Stansfield,ENG,FW,Fulham,19,2002,3,1,87,1.0,0,0,0,0,0,0,0,0,0.3,England Premier League,2022-2023
495,Jason Steele,ENG,GK,Brighton,31,1990,15,15,1350,15.0,0,1,1,0,0,0,1,0,0.0,England Premier League,2022-2023
496,Jack Stephens,ENG,DF,Southampton,28,1994,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
497,Jack Stephens,ENG,DF,Bournemouth,28,1994,15,13,1173,13.0,0,0,0,0,0,0,3,0,0.4,England Premier League,2022-2023
498,Raheem Sterling,ENG,"FW,MF",Chelsea,27,1994,28,23,1891,21.0,6,3,9,6,0,0,4,0,6.2,England Premier League,2022-2023
499,John Stones,ENG,"DF,MF",Manchester City,28,1994,23,21,1846,20.5,2,2,4,2,0,0,2,0,1.0,England Premier League,2022-2023
500,Pascal Struijk,NED,DF,Leeds United,22,1999,29,26,2200,24.4,2,1,3,2,0,0,5,0,1.4,England Premier League,2022-2023
501,Kamaldeen Sulemana,GHA,"FW,MF",Southampton,20,2002,18,10,966,10.7,2,1,3,2,0,0,1,0,1.7,England Premier League,2022-2023
502,Crysencio Summerville,NED,FW,Leeds United,20,2001,28,12,1426,15.8,4,2,6,4,0,0,4,0,2.9,England Premier League,2022-2023
503,Sam Surridge,ENG,FW,Nott'ham Forest,24,1998,20,1,323,3.6,1,0,1,1,0,0,2,0,1.8,England Premier League,2022-2023
504,Japhet Tanganga,ENG,DF,Tottenham,23,1999,4,2,146,1.6,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
505,Matt Targett,ENG,DF,Newcastle Utd,26,1995,17,6,610,6.8,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
506,James Tarkowski,ENG,DF,Everton,29,1992,38,38,3420,38.0,1,1,2,1,0,0,6,0,3.1,England Premier League,2022-2023
507,Marcus Tavernier,ENG,"MF,FW",Bournemouth,23,1999,23,19,1743,19.4,5,4,9,5,0,0,1,0,3.1,England Premier League,2022-2023
508,Tete,BRA,FW,Leicester City,22,2000,13,9,734,8.2,1,0,1,1,0,0,0,0,1.8,England Premier League,2022-2023
509,Kenny Tete,NED,DF,Fulham,26,1995,31,29,2569,28.5,1,5,6,1,0,0,8,0,0.7,England Premier League,2022-2023
510,Luke Thomas,ENG,DF,Leicester City,21,2001,17,11,1073,11.9,0,0,0,0,0,0,3,0,0.1,England Premier League,2022-2023
511,Youri Tielemans,BEL,MF,Leicester City,25,1997,31,27,2344,26.0,3,2,5,2,1,2,4,0,2.5,England Premier League,2022-2023
512,Kieran Tierney,SCO,DF,Arsenal,25,1997,27,6,795,8.8,0,1,1,0,0,0,0,0,0.3,England Premier League,2022-2023
513,Harry Toffolo,ENG,DF,Nott'ham Forest,26,1995,19,9,940,10.4,0,0,0,0,0,0,2,0,0.3,England Premier League,2022-2023
514,Takehiro Tomiyasu,JPN,DF,Arsenal,23,1998,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,England Premier League,2022-2023
515,James Tomkins,ENG,DF,Crystal Palace,33,1989,6,3,338,3.8,1,0,1,1,0,0,3,1,1.0,England Premier League,2022-2023
516,Ivan Toney,ENG,FW,Brentford,26,1996,33,33,2951,32.8,20,4,24,14,6,7,9,0,18.7,England Premier League,2022-2023
517,Adama Traore,ESP,"FW,MF",Wolves,26,1996,34,12,1496,16.6,2,1,3,2,0,0,2,0,1.4,England Premier League,2022-2023
518,Bertrand Traore,BFA,"FW,MF",Aston Villa,26,1995,8,1,233,2.6,2,0,2,2,0,0,1,0,0.7,England Premier League,2022-2023
519,Boubacar Traore,MLI,MF,Wolves,20,2001,10,4,411,4.6,0,1,1,0,0,0,2,0,0.1,England Premier League,2022-2023
520,Mark Travers,IRL,GK,Bournemouth,23,1999,12,11,1035,11.5,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
521,Kieran Trippier,ENG,DF,Newcastle Utd,31,1990,38,38,3341,37.1,1,7,8,1,0,0,5,0,0.9,England Premier League,2022-2023
522,Leandro Trossard,BEL,FW,Arsenal,27,1994,20,10,931,10.3,1,10,11,1,0,0,0,0,1.8,England Premier League,2022-2023
523,Leandro Trossard,BEL,"FW,MF",Brighton,27,1994,16,16,1315,14.6,7,2,9,7,0,0,1,0,4.4,England Premier League,2022-2023
524,Kostas Tsimikas,GRE,DF,Liverpool,26,1996,20,9,771,8.6,0,4,4,0,0,0,3,0,0.6,England Premier League,2022-2023
525,Deniz Undav,GER,"FW,MF",Brighton,26,1996,22,6,628,7.0,5,0,5,5,0,0,2,0,4.5,England Premier League,2022-2023
526,Yan Valery,TUN,DF,Southampton,23,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
527,Virgil van Dijk,NED,DF,Liverpool,31,1991,32,32,2835,31.5,3,1,4,3,0,0,3,0,2.6,England Premier League,2022-2023
528,Raphael Varane,FRA,DF,Manchester Utd,29,1993,24,22,1911,21.2,0,0,0,0,0,0,1,0,0.7,England Premier League,2022-2023
529,Jamie Vardy,ENG,FW,Leicester City,35,1987,37,19,1857,20.6,3,4,7,3,0,1,1,0,6.7,England Premier League,2022-2023
530,Joel Veltman,NED,DF,Brighton,30,1992,31,25,2188,24.3,1,1,2,1,0,0,6,0,1.8,England Premier League,2022-2023
531,Fabio Vieira,POR,"MF,FW",Arsenal,22,2000,22,3,514,5.7,1,2,3,1,0,0,0,0,0.8,England Premier League,2022-2023
532,Matias Vina,URU,DF,Bournemouth,24,1997,12,5,458,5.1,2,0,2,2,0,0,1,0,0.9,England Premier League,2022-2023
533,Ruben Vinagre,POR,"DF,MF",Everton,23,1999,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
534,Carlos Vinicius,BRA,FW,Fulham,27,1995,28,11,1109,12.3,5,2,7,5,0,0,3,0,3.3,England Premier League,2022-2023
535,Theo Walcott,ENG,"FW,MF",Southampton,33,1989,20,13,1129,12.5,2,2,4,2,0,0,1,0,2.2,England Premier League,2022-2023
536,Kyle Walker,ENG,DF,Manchester City,32,1990,27,22,1958,21.8,0,0,0,0,0,0,3,0,0.4,England Premier League,2022-2023
537,Kyle Walker-Peters,ENG,DF,Southampton,25,1997,31,30,2650,29.4,1,0,1,1,0,0,4,0,1.0,England Premier League,2022-2023
538,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,24,1997,19,16,1435,15.9,0,0,0,0,0,0,2,0,1.2,England Premier League,2022-2023
539,Danny Ward,WAL,GK,Leicester City,29,1993,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
540,Joel Ward,ENG,DF,Crystal Palace,32,1989,28,24,2256,25.1,1,0,1,1,0,0,6,0,1.1,England Premier League,2022-2023
541,James Ward-Prowse,ENG,MF,Southampton,27,1994,38,38,3371,37.5,9,4,13,7,2,4,6,0,5.7,England Premier League,2022-2023
542,Ollie Watkins,ENG,FW,Aston Villa,26,1995,37,36,3127,34.7,15,6,21,14,1,2,4,0,16.5,England Premier League,2022-2023
543,Adam Webster,ENG,DF,Brighton,27,1995,27,23,1985,22.1,0,0,0,0,0,0,2,0,1.8,England Premier League,2022-2023
544,Wout Weghorst,NED,"FW,MF",Manchester Utd,29,1992,17,10,797,8.9,0,1,1,0,0,0,1,0,2.0,England Premier League,2022-2023
545,Danny Welbeck,ENG,FW,Brighton,31,1990,31,21,1854,20.6,6,3,9,6,0,0,0,0,9.4,England Premier League,2022-2023
546,Ben White,ENG,DF,Arsenal,24,1997,38,36,3055,33.9,2,5,7,2,0,0,5,0,1.3,England Premier League,2022-2023
547,Harvey White,ENG,MF,Tottenham,20,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
548,Joseph Whitworth,ENG,GK,Crystal Palace,18,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
549,Neco Williams,WAL,DF,Nott'ham Forest,21,2001,31,20,1882,20.9,1,0,1,1,0,0,7,0,1.3,England Premier League,2022-2023
550,Willian,BRA,FW,Fulham,33,1988,27,25,2126,23.6,5,5,10,5,0,0,2,0,3.4,England Premier League,2022-2023
551,Joe Willock,ENG,MF,Newcastle Utd,22,1999,35,31,2558,28.4,3,6,9,3,0,0,1,0,7.0,England Premier League,2022-2023
552,Callum Wilson,ENG,FW,Newcastle Utd,30,1992,31,21,1877,20.9,18,5,23,15,3,3,4,0,17.5,England Premier League,2022-2023
553,Harry Wilson,WAL,FW,Fulham,25,1997,29,13,1100,12.2,2,3,5,2,0,0,1,0,2.0,England Premier League,2022-2023
554,Yoane Wissa,COD,FW,Brentford,25,1996,38,16,1606,17.8,7,3,10,7,0,0,3,0,5.6,England Premier League,2022-2023
555,Maximilian Wober,AUT,DF,Leeds United,24,1998,16,14,1266,14.1,0,0,0,0,0,0,3,0,0.7,England Premier League,2022-2023
556,Chris Wood,NZL,FW,Newcastle Utd,30,1991,18,4,446,5.0,2,0,2,1,1,1,0,0,1.8,England Premier League,2022-2023
557,Chris Wood,NZL,FW,Nott'ham Forest,30,1991,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,England Premier League,2022-2023
558,Joe Worrall,ENG,DF,Nott'ham Forest,25,1997,30,21,2224,24.7,1,0,1,1,0,0,6,0,0.8,England Premier League,2022-2023
559,Granit Xhaka,SUI,MF,Arsenal,29,1992,37,36,2993,33.3,7,7,14,7,0,0,4,0,4.7,England Premier League,2022-2023
560,Ryan Yates,ENG,MF,Nott'ham Forest,24,1997,26,21,1837,20.4,0,2,2,0,0,0,5,0,2.3,England Premier League,2022-2023
561,Ashley Young,ENG,DF,Aston Villa,37,1985,29,23,2036,22.6,1,0,1,1,0,0,7,0,0.5,England Premier League,2022-2023
562,Illia Zabarnyi,UKR,DF,Bournemouth,19,2002,5,3,299,3.3,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
563,Wilfried Zaha,CIV,"FW,MF",Crystal Palace,29,1992,27,27,2288,25.4,7,2,9,7,0,2,5,0,6.5,England Premier League,2022-2023
564,Denis Zakaria,SUI,MF,Chelsea,25,1996,7,5,411,4.6,0,0,0,0,0,0,0,0,0.2,England Premier League,2022-2023
565,Jordan Zemura,ZIM,DF,Bournemouth,22,1999,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.4,England Premier League,2022-2023
566,Oleksandr Zinchenko,UKR,DF,Arsenal,25,1996,27,26,2118,23.5,1,2,3,1,0,0,3,0,1.4,England Premier League,2022-2023
567,Hakim Ziyech,MAR,"FW,MF",Chelsea,29,1993,18,6,661,7.3,0,3,3,0,0,0,1,0,0.6,England Premier League,2022-2023
568,Kurt Zouma,FRA,DF,West Ham,27,1994,25,24,1989,22.1,2,0,2,2,0,0,0,0,2.2,England Premier League,2022-2023
569,Martin Odegaard,NOR,MF,Arsenal,23,1998,37,37,3127,34.7,15,7,22,15,0,0,4,0,10.0,England Premier League,2022-2023
