Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,Country,Season
331,Pape Matar Sarr,SEN,"MF,FW",Tottenham,19,2002,11,2,218,2.4,0,1,1,0,0,0,1,0,0.1,England Premier League,2022-2023
332,Jean-Philippe Mateta,FRA,FW,Crystal Palace,25,1997,29,6,770,8.6,2,0,2,2,0,0,3,0,3.4,England Premier League,2022-2023
333,Joel Matip,CMR,DF,Liverpool,30,1991,14,12,1092,12.1,1,0,1,1,0,0,3,0,0.7,England Premier League,2022-2023
334,Neal Maupay,FRA,FW,Everton,25,1996,27,11,1118,12.4,1,0,1,1,0,0,4,0,4.8,England Premier League,2022-2023
335,Kevin Mbabu,SUI,"DF,FW",Fulham,27,1995,6,1,144,1.6,0,1,1,0,0,0,1,0,0.0,England Premier League,2022-2023
336,Bryan Mbeumo,CMR,FW,Brentford,22,1999,38,36,2906,32.3,9,8,17,8,1,1,5,0,9.8,England Premier League,2022-2023
337,James McArthur,SCO,MF,Crystal Palace,34,1987,4,0,54,0.6,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
338,Alex McCarthy,ENG,GK,Southampton,32,1989,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
339,John McGinn,SCO,"MF,FW",Aston Villa,27,1994,34,30,2693,29.9,1,3,4,1,0,0,7,0,2.4,England Premier League,2022-2023
340,Scott McKenna,SCO,DF,Nott'ham Forest,25,1996,20,19,1571,17.5,0,0,0,0,0,0,4,0,0.1,England Premier League,2022-2023
341,Weston McKennie,USA,MF,Leeds United,23,1998,19,16,1437,16.0,0,1,1,0,0,0,7,0,0.8,England Premier League,2022-2023
342,Dwight McNeil,ENG,"FW,MF",Everton,22,1999,36,28,2498,27.8,7,3,10,7,0,0,5,0,3.5,England Premier League,2022-2023
343,Scott McTominay,SCO,MF,Manchester Utd,25,1996,24,10,1160,12.9,1,0,1,1,0,0,8,0,1.9,England Premier League,2022-2023
344,Ben Mee,ENG,DF,Brentford,32,1989,37,37,3269,36.3,3,1,4,3,0,0,2,0,3.2,England Premier League,2022-2023
345,Edouard Mendy,SEN,GK,Chelsea,30,1992,10,9,855,9.5,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
346,Nampalys Mendy,SEN,MF,Leicester City,30,1992,19,7,757,8.4,1,0,1,1,0,0,1,0,0.1,England Premier League,2022-2023
347,Chris Mepham,WAL,DF,Bournemouth,24,1997,26,24,2199,24.4,0,0,0,0,0,0,7,0,0.7,England Premier League,2022-2023
348,Illan Meslier,FRA,GK,Leeds United,22,2000,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.1,England Premier League,2022-2023
349,Alex Mighten,ENG,FW,Nott'ham Forest,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
350,Lewis Miley,ENG,MF,Newcastle Utd,16,2006,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
351,Luka Milivojevic,SRB,MF,Crystal Palace,31,1991,18,5,512,5.7,0,0,0,0,0,0,2,0,0.3,England Premier League,2022-2023
352,James Milner,ENG,"MF,DF",Liverpool,36,1986,31,7,913,10.1,0,1,1,0,0,0,2,0,0.4,England Premier League,2022-2023
353,Yerry Mina,COL,DF,Everton,27,1994,7,7,594,6.6,2,0,2,2,0,0,2,0,1.5,England Premier League,2022-2023
354,Tyrone Mings,ENG,DF,Aston Villa,29,1993,35,35,3150,35.0,1,2,3,1,0,0,7,0,1.2,England Premier League,2022-2023
355,Tyrick Mitchell,ENG,DF,Crystal Palace,22,1999,36,34,2891,32.1,0,2,2,0,0,0,5,1,0.6,England Premier League,2022-2023
356,Kaoru Mitoma,JPN,"FW,MF",Brighton,25,1997,33,24,2318,25.8,7,5,12,7,0,0,0,0,8.1,England Premier League,2022-2023
357,Aleksandar Mitrovic,SRB,FW,Fulham,27,1994,24,23,2008,22.3,14,1,15,10,4,8,7,0,14.9,England Premier League,2022-2023
358,Kieffer Moore,WAL,FW,Bournemouth,29,1992,27,12,1279,14.2,4,0,4,4,0,0,1,0,4.4,England Premier League,2022-2023
359,Andrew Moran,IRL,FW,Brighton,18,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
360,Alex Moreno,ESP,DF,Aston Villa,29,1993,19,14,1329,14.8,0,3,3,0,0,0,3,0,0.6,England Premier League,2022-2023
361,Mason Mount,ENG,"MF,FW",Chelsea,23,1999,24,20,1648,18.3,3,2,5,3,0,0,4,0,2.0,England Premier League,2022-2023
362,Lucas Moura,BRA,"MF,DF",Tottenham,29,1992,15,0,153,1.7,1,0,1,1,0,0,0,1,0.5,England Premier League,2022-2023
