id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
600156,71,Goal,0.8519999694824218,0.31799999237060544,0.06631127,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26696,Liverpool,Brighton,2,1,02/11/2024 15:00,Curtis Jones,Pass
601734,4,BlockedShot,0.8719999694824219,0.3579999923706055,0.096575528,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26707,Liverpool,Aston Villa,2,0,09/11/2024 20:00,Trent Alexander-Arnold,Pass
601751,60,BlockedShot,0.8059999847412109,0.500999985,0.058869667,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26707,Liverpool,Aston Villa,2,0,09/11/2024 20:00,Luis Díaz,Pass
601758,83,Goal,0.950999985,0.44599998474121094,0.620209277,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26707,Liverpool,Aston Villa,2,0,09/11/2024 20:00,,Interception
603446,5,SavedShot,0.87,0.3189999961853027,0.07900741,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,24/11/2024 14:00,Dominik Szoboszlai,Pass
603447,8,MissedShots,0.9580000305175781,0.34900001525878904,0.04843333,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,24/11/2024 14:00,Andrew Robertson,Cross
603449,20,SavedShot,0.95,0.34599998474121096,0.2650887072086334,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,24/11/2024 14:00,Cody Gakpo,Cross
603465,64,Goal,0.875,0.29600000381469727,0.2497328668832779,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,24/11/2024 14:00,Ryan Gravenberch,Chipped
603474,82,Goal,0.885,0.5,0.7611688375473022,Mohamed Salah,a,1250,Penalty,2024,LeftFoot,26721,Southampton,Liverpool,2,3,24/11/2024 14:00,,Standard
603475,84,MissedShots,0.855,0.375,0.12296708673238754,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,24/11/2024 14:00,Dominik Szoboszlai,Chipped
603476,87,ShotOnPost,0.9490000152587891,0.40700000762939453,0.1406598687171936,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26721,Southampton,Liverpool,2,3,24/11/2024 14:00,,None
604826,55,MissedShots,0.8480000305175781,0.44599998474121094,0.3509168326854706,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26726,Liverpool,Manchester City,2,0,01/12/2024 16:00,,BallRecovery
604829,62,MissedShots,0.8430000305175781,0.6419999694824219,0.066375993,Mohamed Salah,h,1250,OpenPlay,2024,LeftFoot,26726,Liverpool,Manchester City,2,0,01/12/2024 16:00,Luis Díaz,BallRecovery
604831,77,Goal,0.885,0.5,0.7611688375473022,Mohamed Salah,h,1250,Penalty,2024,LeftFoot,26726,Liverpool,Manchester City,2,0,01/12/2024 16:00,,Standard
605239,13,BlockedShot,0.92,0.35200000762939454,0.092056975,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26740,Newcastle United,Liverpool,3,3,04/12/2024 19:30,Curtis Jones,Pass
605258,67,Goal,0.9569999694824218,0.415,0.4565964639186859,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26740,Newcastle United,Liverpool,3,3,04/12/2024 19:30,Trent Alexander-Arnold,Pass
605265,81,ShotOnPost,0.9590000152587891,0.3320000076293945,0.080293812,Mohamed Salah,a,1250,OpenPlay,2024,RightFoot,26740,Newcastle United,Liverpool,3,3,04/12/2024 19:30,Trent Alexander-Arnold,TakeOn
605266,82,Goal,0.905,0.46599998474121096,0.1345466822385788,Mohamed Salah,a,1250,OpenPlay,2024,LeftFoot,26740,Newcastle United,Liverpool,3,3,04/12/2024 19:30,Trent Alexander-Arnold,Pass
